hostname,mass,age_yr,feh,av,chi2_phot,chi2_prior,chi2,distance_pc,model_G,model_BP,model_RP,model_H,model_g,model_r,model_i,model_z
TOI-6016,1.3099999981204518,299999999.7206087,0.5,3.0,8.89823692932621,0.7744,9.67263692932621,359.214111328125,6.156478692630273,7.1776901511947795,5.148112266432222,1.0397374184201182,12.054046017025636,2.6075461645047113,2.000914094274466,1.4454052336850218
WASP-26,0.8599999981075941,6000000000.700092,0.5,3.0,12.143165256867826,1.8495999999999997,13.992765256867827,250.369873046875,8.27590381008098,9.54104604415172,7.0276970968815515,1.0397374184201182,13.355141266253261,2.6075461645047113,2.000914094274466,1.4454052336850218
TOI-260,0.616,1000000.0,0.5,3.0,654.705683429089,23.410704165289257,678.1163875943784,20.1991844177246,7.933581622746749,9.731229531086521,6.350521348952904,1.0397374184201182,9.57899679369846,2.6075461645047113,2.000914094274466,1.4454052336850218
Qatar-4,0.896,169999997.97358465,0.5,3.0,37.01974101662196,2.5217440000000413,39.541485016622,323.455108642578,8.329771734094695,9.591352204392868,7.085802410258328,1.0397374184201182,11.80704636686598,2.6075461645047113,2.000914094274466,1.4454052336850218
WASP-20,1.1999999920635718,6999999943.967432,0.23969411567986892,3.0,3.926552279465775,0.9816379990789208,4.908190278544696,338.343933105469,3.437468149498398,4.8770528479183515,2.0688305148309665,0.7794315340999873,13.421257581073794,2.6075461645047113,1.9839619878398078,1.4284531272503636
WASP-1,1.2400000688310853,1000000.0,0.5,2.14655747204704,189.01086951400148,33.834625000000074,222.84549451400156,376.532501220703,5.411286951402074,6.5522569264957395,4.257708100920668,0.8866017903100263,8.56160702802758,1.8659792948911147,1.4436369190888705,1.0467243079029058
WASP-45,0.85,12699868123.050526,0.5,3.0,28.66252327761152,4.4944000006191365,33.15692327823066,213.638046264648,7.971709645993721,9.212196536036021,6.744757354975253,1.0397374184201182,13.683267541318434,2.6075461645047113,2.000914094274466,1.4454052336850218
HATS-30,1.093,2300000000.000001,0.5,3.0,18.084124443011675,3.0976,21.181724443011674,340.406768798828,6.968153548443372,8.078577036887948,5.8628682143457205,1.0397374184201182,12.93798313894917,2.6075461645047113,2.000914094274466,1.4454052336850218
TOI-5322,0.998,1000000.0,0.44096460414747884,3.0,114.15396443213788,32.85951825685672,147.0134826889946,472.886138916016,6.5209674405976195,7.926019386547253,5.165753604564063,0.9807020225675972,9.57899679369846,2.6075461645047113,1.9970120907501978,1.4415032301607535
HATS-49,0.7133,10499970464.447353,0.5,3.0,49.92612189131624,1.3642240002180877,51.29034589153433,320.972869873047,9.52467854837612,11.039553299027629,8.098061683454674,1.0397374184201182,13.598306896110708,2.6075461645047113,2.000914094274466,1.4454052336850218
HATS-46,0.917,3000000000.000001,0.5,3.0,29.19707570667561,5.017600000000001,34.21467570667561,447.001861572266,8.013167781082029,9.237503153907756,6.8000552627108934,1.0397374184201182,13.05404601745521,2.6075461645047113,2.000914094274466,1.4454052336850218
Qatar-5,1.1280014203555855,529999993.8960562,0.5,3.0,19.503650227360207,0.2420640000346072,19.745714227394814,370.01824951171903,6.95098907462299,8.050592364686638,5.85603588897799,1.0397374184201182,12.301199718608835,2.6075461645047113,2.000914094274466,1.4454052336850218
TOI-178,0.647,6000000000.000003,0.5,3.0,55.69795206031275,8.526399999999999,64.22435206031275,62.7974357604981,10.469345962623853,12.243193773611528,8.894039313371183,1.0397374184201182,13.355141266199313,2.6075461645047113,2.000914094274466,1.4454052336850218
HD 2685,1.429999995694298,1309998280.91105,0.3438609972289518,3.0,6.712701069399582,1.6781751284314765,8.390876197831059,196.966110229492,5.464633986621545,6.432530597957549,4.520708922590224,0.8835984156490702,12.694664866479268,2.6075461645047113,1.9905939307473108,1.4350850701578666
WASP-190,1.3499999952222852,4999999999.999999,0.27965515695220333,3.0,5.746765908906526,1.4366914094087944,7.1834573183153205,543.497253417969,2.3279717199765524,3.8208000249767715,0.9170250212606627,0.8193925753723217,13.277845034966587,2.6075461645047113,1.9863501815283788,1.4308413209389346
TOI-6029,1.5479999817959138,2310000027.9441595,0.5,3.0,1.2990524670478896,0.2704000000000077,1.5694524670478973,594.123229980469,4.989758427999163,6.0281858797726295,3.962636616846026,1.0397374184201182,12.939918787639192,2.6075461645047113,2.000914094274466,1.4454052336850218
HD 3167,0.837,7800000000.000007,0.5,3.0,31.178532381765283,3.3856,34.56413238176528,47.2362174987793,8.371604184358562,9.654530010499867,7.1101441307989734,1.0397374184201182,13.470225331166107,2.6075461645047113,2.000914094274466,1.4454052336850218
TOI-2406,0.166,4999999999.999999,0.5,3.0,217.3851068789446,9.2416,226.62670687894462,55.3928833007813,16.03129617608714,19.39729875121497,13.985147434330047,1.0397374184201182,13.277845034966587,2.6075461645047113,2.000914094274466,1.4454052336850218
WASP-93,1.3340000028617967,700000006.0845983,0.38195980038375094,3.0,6.2284111311509545,1.557102672887516,7.78551380403847,367.69921875,5.953544570085967,6.949707544151476,4.974899354215197,0.9216972188038693,12.421258093432611,2.6075461645047113,1.9931121092406303,1.437603248651186
