hostname,BP_RP_abs,G_abs,iso_mag_pred,mass_pred
HIP 65 A,1.3769225888000012,6.634268944365532,6.30656961064439,0.8153988018798953
WASP-136,0.628909653700001,2.6957802880196997,3.7750478571059647,1.2695257685430454
KELT-1,0.6936293896999999,3.437190830336279,4.127456663830543,1.1970081407635467
HATS-34,0.9354361153719992,5.151115599079436,5.036472225189173,0.9388756014083888
WASP-96,0.8865557525899987,4.668709759836249,4.932294208361261,0.9668269380956689
TOI-198,1.9803837390800005,9.036151164957975,7.668121619662288,0.6236237365867158
WASP-44,0.9372264728099999,5.11151383887008,5.0411542931322595,0.9382168974208976
Gliese 12,2.603318453389999,10.974395072082249,9.30556416908324,0.27187209873781754
WASP-32,0.7289433362699995,4.202677916671499,4.337600739971229,1.1535180587807885
WASP-158,0.7169130086999989,3.4581683878483673,4.266011401525118,1.1683337331280799
HD 1397,0.928891149,3.0908436018054477,5.019356102682855,0.9412836096394407
TOI-6016,1.010195177429999,4.133225929461858,5.2319789996955235,0.9113704277299488
WASP-26,0.7653406179899989,4.000601874897951,4.550568540321849,1.1106330774765272
TOI-260,1.6902684150000002,7.789995675217494,7.051076530325946,0.7348538412646674
Qatar-4,1.096364617759999,5.851334100731119,5.476092945835865,0.8864081117166751
WASP-20,0.7570208556000004,3.1923170236427207,4.50195847321221,1.1203980568075111
WASP-1,0.7522294477300004,3.6532286757088457,4.473963604225285,1.126021774964788
WASP-45,1.0436263057899993,5.391683639495605,5.320264593645118,0.8993786754082639
HATS-30,0.7704418437299996,4.4137818782896385,4.580373589305092,1.1046457233215967
TOI-5322,0.9031109209999997,4.097388823129771,4.954586908061372,0.9518854503610109
HATS-49,1.5573667624019993,6.998632544663041,6.745466730414734,0.7707872144295336
HATS-46,0.9165480511700004,5.264065051084263,4.9870769491230185,0.9458248524025016
Qatar-5,0.9123222652200003,4.670871651512529,4.9760258503251515,0.9473795933701249
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
TOI-178,1.479678669550001,7.167839715536509,6.5766380611000015,0.7894712194444442
HD 2685,0.5613456277999997,3.0546012462881116,,
WASP-190,0.5985722530299995,2.9532200764710854,,
TOI-6029,1.1608523822199999,3.390442265164685,5.666637953760718,0.8705478646778161
HD 3167,0.9818602345999992,5.40104513979321,5.157878641477849,0.9217953515084624
HD 3167,0.9818602345999992,5.40104513979321,5.157878641477849,0.9217953515084624
HD 3167,0.9818602345999992,5.40104513979321,5.157878641477849,0.9217953515084624
HD 3167,0.9818602345999992,5.40104513979321,5.157878641477849,0.9217953515084624
TOI-2406,3.0409533482783004,11.945711273258494,10.97047125947447,0.13146666341776087
WASP-93,0.6180227295999998,3.156921685375085,3.718089777377483,1.281542241059603
HAT-P-19,1.1743222191699996,6.028954408551293,5.706437909765956,0.8672350666084605
HAT-P-16,0.7193710180000004,4.035487645503466,4.280638373123156,1.165306628078817
K2-149,2.066848865760001,8.311832578399127,7.8489662452634885,0.5790931994306047
TOI-1470,2.182813248428001,8.974774043801588,8.11670417977529,0.503467838367176
TOI-1470,2.182813248428001,8.974774043801588,8.11670417977529,0.503467838367176
TOI-1470,2.182813248428001,8.974774043801588,8.11670417977529,0.503467838367176
TOI-1470,2.182813248428001,8.974774043801588,8.11670417977529,0.503467838367176
TOI-244,2.54529733675,9.830150916856356,9.106620503844736,0.3001769960526317
LHS 1140,3.030983944140001,11.779498989361972,10.930797365527576,0.1336339251869564
LHS 1140,3.030983944140001,11.779498989361972,10.930797365527576,0.1336339251869564
LHS 1140,3.030983944140001,11.779498989361972,10.930797365527576,0.1336339251869564
LHS 1140,3.030983944140001,11.779498989361972,10.930797365527576,0.1336339251869564
K2-206,1.0819453039300004,5.864620508069285,5.43348752617192,0.8899544259886866
K2-217,0.8027152934299995,4.124252359153896,4.733963813187449,1.06860832213969
K2-216,1.352558124349999,6.74835700400874,6.23430320956031,0.8217602808485642
K2-207,0.9196752364779996,5.1541882786239555,4.9952550334384185,0.9446743059315673
HD 5278,0.6853894219999992,4.0217298715151255,4.081028792798203,1.2065141008968616
K2-385,1.1920049941700004,6.303679753431462,5.758686030486568,0.8628861303074273
K2-220,0.9038147505000005,4.892311206267616,4.9555346640306865,0.9512502251805047
K2-203,1.102776100009999,5.980585325212024,5.495037251726544,0.8848312592203643
K2-218,0.8892122268299989,4.772905106115235,4.935871337933536,0.9644293981678709
TOI-4638,0.8788639794400002,5.058626629429385,4.921936694336173,0.9737689716245486
