BP_RP_abs,G_abs,iso_mag_pred,mass_pred
1.3769225888000012,6.634268944365532,6.85,1.1878453704641339
0.628909653700001,2.6957802880196997,,
0.6936293896999999,3.437190830336279,,
0.9354361153719992,5.151115599079436,,
0.8865557525899987,4.668709759836249,,
1.9803837390800005,9.036151164957975,6.85,0.62972976294205
0.9372264728099999,5.11151383887008,,
2.603318453389999,10.974395072082249,6.85,0.27719965754815445
0.7289433362699995,4.202677916671499,,
0.7169130086999989,3.4581683878483673,,
0.928891149,3.0908436018054477,,
1.010195177429999,4.133225929461858,,
0.7653406179899989,4.000601874897951,,
1.6902684150000002,7.789995675217494,6.85,0.9049558257299272
1.096364617759999,5.851334100731119,,
0.7570208556000004,3.1923170236427207,,
0.7522294477300004,3.6532286757088457,,
1.0436263057899993,5.391683639495605,,
0.7704418437299996,4.4137818782896385,,
0.9031109209999997,4.097388823129771,,
1.5573667624019993,6.998632544663041,6.85,1.0149946159219745
0.9165480511700004,5.264065051084263,,
0.9123222652200003,4.670871651512529,,
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
1.479678669550001,7.167839715536509,6.85,1.0812234541203691
0.5613456277999997,3.0546012462881116,,
0.5985722530299995,2.9532200764710854,,
1.1608523822199999,3.390442265164685,,
0.9818602345999992,5.40104513979321,,
0.9818602345999992,5.40104513979321,,
0.9818602345999992,5.40104513979321,,
0.9818602345999992,5.40104513979321,,
3.0409533482783004,11.945711273258494,6.85,0.13661004557369952
0.6180227295999998,3.156921685375085,,
1.1743222191699996,6.028954408551293,,
0.7193710180000004,4.035487645503466,,
2.066848865760001,8.311832578399127,6.85,0.5651807602998495
2.182813248428001,8.974774043801588,6.85,0.47845456212071286
2.182813248428001,8.974774043801588,6.85,0.47845456212071286
2.182813248428001,8.974774043801588,6.85,0.47845456212071286
2.182813248428001,8.974774043801588,6.85,0.47845456212071286
2.54529733675,9.830150916856356,6.85,0.3005476608606561
3.030983944140001,11.779498989361972,6.85,0.1392558534660296
3.030983944140001,11.779498989361972,6.85,0.1392558534660296
3.030983944140001,11.779498989361972,6.85,0.1392558534660296
3.030983944140001,11.779498989361972,6.85,0.1392558534660296
1.0819453039300004,5.864620508069285,,
0.8027152934299995,4.124252359153896,,
1.352558124349999,6.74835700400874,6.85,1.2122536981393142
0.9196752364779996,5.1541882786239555,,
0.6853894219999992,4.0217298715151255,,
1.1920049941700004,6.303679753431462,,
0.9038147505000005,4.892311206267616,,
1.102776100009999,5.980585325212024,,
0.8892122268299989,4.772905106115235,,
0.8788639794400002,5.058626629429385,,
0.9681673046300006,3.891890377471741,,
0.8845630704499996,4.355423537120693,,
0.8845630704499996,4.355423537120693,,
0.8845630704499996,4.355423537120693,,
0.8845630704499996,4.355423537120693,,
0.8845630704499996,4.355423537120693,,
0.8845630704499996,4.355423537120693,,
0.8845630704499996,4.355423537120693,,
0.8845630704499996,4.355423537120693,,
0.8845630704499996,4.355423537120693,,
0.7175503539499992,2.7237341493824445,,
1.0114674824399987,4.843470239990259,,
0.9380442486800007,5.0206632250338235,,
0.9380442486800007,5.0206632250338235,,
0.9380442486800007,5.0206632250338235,,
0.9380442486800007,5.0206632250338235,,
0.8193187136499986,4.05674164199745,,
1.240452360879999,6.104561820350451,,
1.0519342478159999,5.378222503015046,,
1.0519342478159999,5.378222503015046,,
1.0519342478159999,5.378222503015046,,
1.0519342478159999,5.378222503015046,,
1.0726648300200008,5.6899040770316365,,
1.0726648300200008,5.6899040770316365,,
1.0726648300200008,5.6899040770316365,,
1.0726648300200008,5.6899040770316365,,
1.684726566810001,7.584524513148494,6.85,0.9100122565602183
1.684726566810001,7.584524513148494,6.85,0.9100122565602183
1.684726566810001,7.584524513148494,6.85,0.9100122565602183
1.684726566810001,7.584524513148494,6.85,0.9100122565602183
1.684726566810001,7.584524513148494,6.85,0.9100122565602183
1.684726566810001,7.584524513148494,6.85,0.9100122565602183
1.684726566810001,7.584524513148494,6.85,0.9100122565602183
1.684726566810001,7.584524513148494,6.85,0.9100122565602183
1.684726566810001,7.584524513148494,6.85,0.9100122565602183
1.249610914489999,6.334181854028856,,
0.8637362344999993,3.0754738932443892,,
0.8153427865900014,4.157320760853546,,
0.7151514681800002,3.278315025064508,,
0.7782144840199994,4.250225765313971,,
0.7222068723999993,4.15991836702195,,
2.5519607342445987,9.599191060729012,6.85,0.2978086941233556
0.7526345129999985,4.5611147866004185,,
1.0291421886199998,5.742073110379673,,
0.8123492809999995,3.4349865282804544,,
0.7851475370600003,4.1406390339399834,,
1.3147561773910006,6.415698116287389,6.85,1.2483242582146938
0.7309936447999998,4.3818843952051125,,
2.5960931154700013,10.140119181148547,6.85,0.28009907083868335
2.5960931154700013,10.140119181148547,6.85,0.28009907083868335
2.5960931154700013,10.140119181148547,6.85,0.28009907083868335
2.5960931154700013,10.140119181148547,6.85,0.28009907083868335
0.9334167438199987,4.950845059077233,,
0.9568626939809999,4.883988731124122,,
0.8449572489400001,4.180836479348164,,
0.8060992740399993,4.209292123055979,,
0.7922436829999988,2.380592331008657,,
0.9622321704400001,5.339973829601854,,
0.7268057520000006,3.8757565334434165,,
